INSERT INTO purchases (purchase_date, price, supplier_id, emp_id) VALUES
('2023-07-22', 2605519, 11, 16),
('2024-08-18', 9880466, 15, 4),
('2022-06-24', 8064692, 11, 13),
('2022-08-13', 5937552, 18, 13),
('2025-02-18', 4552616, 15, 25),
('2022-07-29', 2021947, 18, 18),
('2024-08-25', 1974002, 18, 4),
('2022-04-16', 3665529, 11, 8),
('2022-06-02', 1681101, 12, 16),
('2024-12-05', 603764, 15, 29),
('2025-04-06', 3292426, 12, 28),
('2023-12-14', 7542944, 17, 20),
('2022-09-25', 6534931, 6, 1),
('2024-08-08', 7936543, 14, 23),
('2022-04-03', 3759336, 6, 9),
('2025-02-28', 1591225, 12, 20),
('2024-12-13', 1163912, 4, 20),
('2022-08-08', 2458666, 5, 30),
('2025-01-12', 2046004, 8, 4),
('2025-11-26', 8718829, 6, 10),
('2023-06-18', 9002725, 7, 14),
('2025-01-06', 1399315, 12, 8),
('2023-03-09', 4040066, 20, 3),
('2022-10-20', 6669413, 2, 13),
('2022-02-03', 6765982, 14, 6),
('2025-11-09', 4646472, 17, 27),
('2024-07-30', 6944740, 8, 12),
('2024-07-29', 1419846, 9, 22),
('2024-12-08', 5312230, 13, 25),
('2024-05-27', 2738032, 11, 27),
('2022-06-17', 6330351, 5, 24),
('2022-03-11', 6251862, 15, 13),
('2025-09-12', 8669411, 8, 12),
('2022-05-25', 2373101, 11, 19),
('2023-12-22', 3878431, 13, 20),
('2024-08-17', 7943964, 11, 4),
('2025-01-16', 5692741, 2, 25),
('2022-03-31', 4499182, 7, 8),
('2022-09-26', 5767553, 13, 27),
('2025-01-31', 2178267, 17, 13),
('2024-07-19', 5763839, 14, 19),
('2023-01-29', 7171414, 10, 23),
('2024-06-05', 7895801, 5, 6),
('2024-06-27', 7573700, 1, 30),
('2022-03-14', 6891951, 18, 23),
('2022-04-06', 5064259, 12, 20),
('2023-04-29', 6102985, 3, 13),
('2022-01-05', 2783273, 3, 24),
('2025-01-07', 9172048, 10, 20),
('2025-05-26', 1757848, 20, 23),
('2022-01-26', 2435767, 4, 12),
('2025-12-27', 8901587, 12, 13),
('2024-08-12', 9371249, 19, 15),
('2024-08-10', 5680487, 6, 3),
('2024-03-11', 3551323, 4, 25),
('2023-04-02', 8449299, 8, 20),
('2022-01-09', 1021833, 19, 4),
('2023-08-17', 6476223, 17, 16),
('2025-11-10', 9031454, 6, 2),
('2025-08-28', 5132501, 8, 6),
('2024-11-01', 5873971, 20, 28),
('2023-10-04', 9595607, 8, 17),
('2023-08-10', 1581955, 2, 24),
('2025-07-31', 2543190, 5, 23),
('2024-03-06', 1494919, 16, 18),
('2025-09-25', 9585247, 10, 29),
('2025-02-20', 4869937, 19, 24),
('2024-01-11', 1360991, 15, 15),
('2023-03-04', 8580697, 11, 21),
('2025-03-12', 4588326, 6, 8),
('2025-04-09', 7863039, 12, 10),
('2022-08-11', 1064660, 1, 18),
('2025-06-03', 2531105, 18, 22),
('2025-10-09', 5381917, 11, 1),
('2023-07-05', 8419060, 2, 19),
('2022-08-19', 5774716, 13, 4),
('2023-09-03', 9700333, 14, 1),
('2022-01-01', 9439453, 16, 21),
